Rank,Driver,Nationality,DOB,Constructor,Points,Wins,DriverID
1,Lewis Hamilton,BRITISH,1985-01-07,Mercedes,347,11,hamilton
2,Valtteri Bottas,FINNISH,1989-08-28,Mercedes,223,2,bottas
3,Max Verstappen,DUTCH,1997-09-30,Red Bull,214,2,max_verstappen
4,Sergio Pérez,MEXICAN,1990-01-26,Racing Point,125,1,perez
5,Daniel Ricciardo,AUSTRALIAN,1989-07-01,Renault,119,0,ricciardo
6,Carlos Sainz,SPANISH,1994-09-01,McLaren,105,0,sainz
7,Alexander Albon,THAI,1996-03-23,Red Bull,105,0,albon
8,Charles Leclerc,MONEGASQUE,1997-10-16,Ferrari,98,0,leclerc
9,Lando Norris,BRITISH,1999-11-13,McLaren,97,0,norris
10,Pierre Gasly,FRENCH,1996-02-07,AlphaTauri,75,1,gasly
11,Lance Stroll,CANADIAN,1998-10-29,Racing Point,75,0,stroll
12,Esteban Ocon,FRENCH,1996-09-17,Renault,62,0,ocon
13,Sebastian Vettel,GERMAN,1987-07-03,Ferrari,33,0,vettel
14,Daniil Kvyat,RUSSIAN,1994-04-26,AlphaTauri,32,0,kvyat
15,Nico Hülkenberg,GERMAN,1987-08-19,Racing Point,10,0,hulkenberg
16,Kimi Räikkönen,FINNISH,1979-10-17,Alfa Romeo,4,0,raikkonen
17,Antonio Giovinazzi,ITALIAN,1993-12-14,Alfa Romeo,4,0,giovinazzi
18,George Russell,BRITISH,1998-02-15,Williams,3,0,russell
19,Romain Grosjean,FRENCH,1986-04-17,Haas F1 Team,2,0,grosjean
20,Kevin Magnussen,DANISH,1992-10-05,Haas F1 Team,1,0,kevin_magnussen
21,Nicholas Latifi,CANADIAN,1995-06-29,Williams,0,0,latifi
22,Jack Aitken,BRITISH,1995-09-23,Williams,0,0,aitken
23,Pietro Fittipaldi,BRAZILIAN,1996-06-25,Haas F1 Team,0,0,pietro_fittipaldi
